_time,_start,_stop,_measurement,application_name,dev_eui,device_name,dr,frequency,f_cnt,rssi,snr
2025-02-12 15:14:52.261284+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867500000,616,-124,-7.2
2025-02-12 15:14:57.254442+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,617,-117,0.2
2025-02-12 15:15:02.267188+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867900000,618,-116,0.9
2025-02-12 15:15:07.252292+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,619,-119,-2.0
2025-02-12 15:15:22.261716+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867500000,622,-116,0.6
2025-02-12 15:15:27.254627+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,623,-121,-3.5
2025-02-12 15:15:37.258405+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,625,-125,-7.5
2025-02-12 15:15:42.271296+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867500000,626,-119,-2.1
2025-02-12 15:16:02.258685+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867500000,630,-120,-3.1
2025-02-12 15:16:07.268491+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,631,-125,-7.8
2025-02-12 15:16:17.259515+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,633,-117,0.1
2025-02-12 15:16:22.262880+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867900000,634,-123,-5.8
2025-02-12 15:16:27.263648+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,635,-124,-7.1
2025-02-12 15:16:37.268610+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,637,-125,-8.0
2025-02-12 15:16:42.257882+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867900000,638,-112,4.9
2025-02-12 15:16:47.258273+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,639,-122,-5.0
2025-02-12 15:16:57.253898+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,641,-125,-8.5
2025-02-12 15:17:02.257212+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867900000,642,-117,-0.2
2025-02-12 15:17:07.251885+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,643,-118,-0.9
2025-02-12 15:17:17.262226+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,645,-115,1.6
2025-02-12 15:17:22.265178+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867500000,646,-118,-0.9
2025-02-12 15:17:27.254019+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,647,-124,-7.2
2025-02-12 15:17:32.251723+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,867500000,648,-115,2.0
2025-02-12 15:17:37.258094+00:00,2025-02-12 15:03:32.276320+00:00,2025-02-12 15:33:32.276320+00:00,device_uplink,Ns-3 Application,0001000000000002,Device 2,5,868100000,649,-116,1.5
